Name,Location,Website,Tuition,Acceptance Rate,Student-Faculty Ratio,Description,School Type,Largest Program
American Musical and Dramatic Academy,"211 West 61st Street, New York, New York 10023",www.amda.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Apex Technical School,"Long Island City, NY",https://www.collegexpress.com/college/apex-technical-school/3101001/details/,Information Unavailable,Information Unavailable,13:1,"Apex Technical School prepares students for career opportunities utilizing hands on technical training. The school has a rich tradition of service to New Yorkers since 1961 as a private school, licensed by the State of New York Education Department and accredited by the Accrediting Commission of Career Schools and Colleges.","< 2-year, Private for-profit",Electrician
Arnot Ogden Medical Center,"600 Roe Avenue, Elmira, New York 14905-1676",www.arnothealth.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",Registered Nursing/Registered Nurse
Arrojo Cosmetology School,"56 King St., New York, New York 10014",www.arrojocosmetology.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Associated Beth Rivkah Schools,"310 Crown Street, Brooklyn, New York 11225-0000",https://www.bethrivkah.edu/dhl,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Atelier Esthetique Institute of Esthetics,"226 East 26th Street 7th Floor, New York, New York 10001",www.aeinstitute.net/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Atlantic Acting School,"New York, NY",https://www.collegexpress.com/college/atlantic-acting-school/5001345/details/,"$17,000",Information Unavailable,Information Unavailable,Atlantic Acting School is a specialized institution. Its campus is located in New York.,Information Unavailable,Information Unavailable
Austin Medical Assistant Training,"109-15 72nd Road, Unit 1A, Forest Hills, New York 11375-0000",https://amat.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",Medical Office Assistant/Specialist
Aveda Arts & Sciences Institute-New York,"233 Spring St, New York, New York 10013",avedaarts.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Bais Binyomin Academy,"51 Carlton Road, Monsey, New York 10952",https://baisbinyominacademy.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Bais Medrash Elyon,"73 Main Street, Monsey, New York 10952",baismedroshelyon.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bais Medrash of Dexter Park,"445 South Pascack Road, Chestnut Ridge, New York 10977",https://bmdpark.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Bank Street College of Education,"610 W 112 St, New York, New York 10025",www.bankstreet.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Barber & Beauty Institute of New York,"266 Greenwich Street, Hempstead, New York 11550-6317",www.bbiny.edu/#,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Barbering/Barber
Bard College,"Annandale-on-Hudson, NY",https://www.collegexpress.com/college/bard-college/1100165/details/,"$55,566",56%,10:1,"Bard College, founded in 1860, is a private, liberal arts college. Its 1,000-acre campus is located in Annandale-on-Hudson, 90 miles north of New York City.","4-year, Private not-for-profit",-
Bard College - Albion Correctional Facility,"3595 State School Road, Albion, New York 14411-9399",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bard College - Bard Globalization and International Affairs Program,"108 West 39th Street Suite 1000A, New York, New York 10018-3614",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bard College - Brooklyn Public Library,"10 Grand Army Plaza, Brooklyn, New York 11238-5619",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Bard College - Coxsackie Correctional Facility,"11260 Route 9W, Coxsackie, New York 12051-0200",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private not-for-profit",-
Bard College - Eastern NY Correctional Facility,"30 Institution Road, Napanoch, New York 12458-0338",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bard College - Fishkill Correctional Facility,"18 Strack Drive, Beacon, New York 12508-0307",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bard College - Green Haven Correctional Facility,"594 Route 216, Stormville, New York 12582-0010",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
"Bard College - New York Public Library, Countee Cullen Branch","104 West 136th Street New York Public Library, New York, New York 10030-2601",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Bard College - Taconic Correctional Facility,"250 Harris Road, Bedford Hill, New York 10507-2497",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bard College - Woodbourne Correctional Facility,"99 Prison Road, Woodbourne, New York 12788-1000",https://www.bard.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Barnard College,"New York, NY",https://www.collegexpress.com/college/barnard-college/1100168/details/,"$55,781",13%,9:1,"Barnard College, founded in 1889, is a private, liberal arts college for women affiliated with Columbia University. Its four-acre campus is located in the Upper West Side of Manhattan.","4-year, Private not-for-profit",-
"Baruch College, CUNY","New York, NY",https://www.collegexpress.com/college/baruch-college-cuny/1100930/details/,"$6,930",40%,19:1,"Founded in 1847, Bernard M. Baruch College of the City University of New York traces it roots to Free Academy. It is a public college located in the center of New York City's central business district.",Information Unavailable,Information Unavailable
Be'er Yaakov Talmudic Seminary,"12 Truman Avenue, Spring Valley, New York 10977",www.byts.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Beis Medrash Heichal Dovid,"211 Beach Seventeenth Street, Far Rockaway, New York 11691-4433",www.heichaldovid.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Belanger School of Nursing,"650 McClellan St, Schenectady, New York 12304",www.ellismedicine.org/school-of-nursing/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Berk Trade and Business School,"Long Island City, NY",https://www.collegexpress.com/college/berk-trade-and-business-school/3101002/details/,Information Unavailable,Information Unavailable,20:1,"Berk Trade and Business School, founded in 1940, is a private, coeducational, technical/professional school. Its campus is located in Long Island City, New York.","< 2-year, Private for-profit","Electrical and Power Transmission Installation/Installer, General"
Berkeley College-New York,"3 East 43 Street, New York, New York 10017",https://berkeleycollege.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private for-profit",-
Berkeley College—New York,"New York, NY",https://www.collegexpress.com/college/berkeley-college-new-york/3000461/details/,"$25,300",Information Unavailable,21:1,"Founded 1931, Berkeley College is a private coed institution. The main campus is located in mid-town Manhattan with additional locations in Brooklyn and White Plains, New York.  Programs also are available online.",Information Unavailable,Information Unavailable
Berkowits School of Electrolysis,"107-25 Metropolitan Avenue, Forest Hills, New York 11375-6820",estheticsschoolny.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Electrolysis/Electrology and Electrolysis Technician
Bet Medrash Gadol Ateret Torah,"1750 East Fourth Street, Brooklyn, New York 11223-1933",betmedrashgadolaterettorah.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Beth Hamedrash Shaarei Yosher Institute,"4102 16th Ave, Brooklyn, New York 11204",bhsy.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Beth Medrash Meor Yitzchok,"85 Dykstras Way East, Monsey, New York 10952-4023",https://bethmedrashmeoryitzchok.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Binghamton University,"Binghamton, NY",https://www.collegexpress.com/college/binghamton-university/1100131/details/,"$7,070",43%,19:1,"Binghamton University, founded in 1946, is a medium-sized, comprehensive, doctoral-granting university. Its 930-acre campus is located in Binghamton, NY, just three hours from New York City and Philadelphia, PA.","4-year, Public",-
Bnos Zion Of Bobov Seminary,"5000 14th Avenue, Brooklyn, New York 11219-3621",https://www.bnoszionbobov.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Boricua College,"New York, NY",https://www.collegexpress.com/college/boricua-college/1100192/details/,"$11,000",Information Unavailable,Information Unavailable,"Boricua College, founded in 1974, is a private, liberal arts college with an English/Spanish bilingual and bicultural curriculum. Its campus is located in Manhattan.","4-year, Private not-for-profit",-
Borough of Manhattan Community College,"New York, NY",https://www.collegexpress.com/college/borough-of-manhattan-community-college/3300972/details/,"$4,800",Information Unavailable,24:1,"Borough of Manhattan Community College, founded in 1963, is a public two-year institution. Its campus is located in New York, NY.",Information Unavailable,Information Unavailable
Brittany Beauty Academy,"210 East 188th St, Bronx, New York 10458",https://brittanyacademy.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Brittany Beauty Academy,"375 86th Street, Brooklyn, New York 11209",brittanyacademy.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Brittany Beauty Academy,"3274 Hempstead Turnpike, Levittown, New York 11756-1345",https://brittanyacademy.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Bronx Community College,"Bronx, NY",https://www.collegexpress.com/college/bronx-community-college/3300973/details/,"$4,800",Information Unavailable,Information Unavailable,"Bronx Community College is a public, coeducational, two-year institution. Its campus is located in the Bronx, NY.",Information Unavailable,Information Unavailable
"Brooklyn College, CUNY","Brooklyn, NY",https://www.collegexpress.com/college/brooklyn-college-cuny/1100518/details/,"$6,930",49%,Information Unavailable,"Founded in 1930, Brooklyn College is a public liberal arts institution in the City University of New York school system. Its 26-acre campus is located in Brooklyn's Flatbush section.",Information Unavailable,Information Unavailable
Brooklyn Law School,"250 Joralemon St, Brooklyn, New York 11201",www.brooklaw.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Broome Delaware Tioga BOCES-Practical Nursing Program,"1100 East Main Street, Endicott, New York 13760",www.btboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Bryant & Stratton College-Albany,"1259 Central Ave, Albany, New York 12205",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Amherst,"3650 Millersport Highway, Getzville, New York 14068",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bryant & Stratton College-Buffalo,"110 Broadway, 2nd Floor, Buffalo, New York 14203",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Greece,"854 Long Pond Road, Rochester, New York 14612",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Henrietta,"1225 Jefferson Rd, Rochester, New York 14623",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bryant & Stratton College-Online,"200 Redtail Rd, Orchard Park, New York 14127",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Bryant & Stratton College-Southtowns,"Sterling Park - 180 Redtail Rd., Orchard Park, New York 14127",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Bryant & Stratton College-Syracuse,"953 James St, Syracuse, New York 13203-2502",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Bryant & Stratton College-Syracuse North,"7805 Oswego Rd, Liverpool, New York 13090",https://www.bryantstratton.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, primarily associate's, Private not-for-profit",-
Buffalo State College,"Buffalo, NY",https://www.collegexpress.com/college/buffalo-state-college/1100138/details/,"$7,070",80%,15:1,"Buffalo State, SUNY College at Buffalo, founded in 1867, is a public, multipurpose college of arts and sciences. Its 115-acre, urban campus is located in Buffalo.",Information Unavailable,Information Unavailable
CUNY Bernard M Baruch College,"One Bernard Baruch Way (55 Lexington Ave at 24th St), New York, New York 10010",www.baruch.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Borough of Manhattan Community College,"199 Chambers St, New York, New York 10007",www.bmcc.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
CUNY Bronx Community College,"2155 University Avenue, Bronx, New York 10453",www.bcc.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
CUNY Brooklyn College,"2900 Bedford Ave, Brooklyn, New York 11210",www.brooklyn.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Brooklyn College - Feirstein Graduate School of Cinema,"25 Washington Avenue, Brooklyn, New York 11205-1202",www.brooklyn.edu/feirstein/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY City College,"160 Convent Ave, New York, New York 10031",www.ccny.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Graduate School and University Center,"365 Fifth Ave, New York, New York 10016",www.gc.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Hostos Community College,"500 Grand Concourse, Bronx, New York 10451",www.hostos.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
CUNY Hunter College,"695 Park Ave, New York, New York 10065",www.hunter.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY John Jay College of Criminal Justice,"524 W 59th St, New York, New York 10019",www.jjay.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Kingsborough Community College,"2001 Oriental Blvd, Brooklyn, New York 11235",www.kbcc.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
CUNY LaGuardia Community College,"31-10 Thomson Ave, Long Island City, New York 11101",www.lagcc.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
CUNY Lehman College,"250 Bedford Park Blvd West, Bronx, New York 10468",www.lehman.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Medgar Evers College,"1650 Bedford Ave, Brooklyn, New York 11225",https://www.mec.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY New York City College of Technology,"300 Jay St, Brooklyn, New York 11201",www.citytech.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Queens College,"65-30 Kissena Blvd, Queens, New York 11367",https://www.qc.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Queensborough Community College,"222-05 56th Ave, Bayside, New York 11364-1497",www.qcc.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
CUNY School of Law,"2 Court Square, Long Island City, New York 11101",https://www.law.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CUNY Stella and Charles Guttman Community College,"50 West 40th Street, New York, New York 10018-2602",https://www.guttman.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
CUNY York College,"94-20 Guy R. Brewer Blvd, Jamaica, New York 11451",www.york.cuny.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Public",-
CVPH Medical Center School of Radiologic Technology,"75 Beekman St, Plattsburgh, New York 12901-1438",www.cvph.org/Residency-and-Education/School-of-Radiology/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",Radiologic Technology/Science - Radiographer
Canisius University,"Buffalo, NY",https://www.collegexpress.com/college/canisius-university/1100989/details/,"$28,630",76%,11:1,"Founded in 1870 by German Jesuits and named for St. Peter Canisius, Canisius University is the largest private university in Western New York. Its 72-acre campus is located in a residential neighborhood of North-Central Buffalo.","4-year, Private not-for-profit",-
Capri Cosmetology Learning Centers,"251 West Route 59, Nanuet, New York 10954",caprinow.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit","Cosmetology/Cosmetologist, General"
Career School of NY,"350 St. Marks Pl, Staten Island, New York 10301",careerschoolny.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private not-for-profit",Aesthetician/Esthetician and Skin Care Specialist
Cattaraugus Allegany BOCES-Practical Nursing Program,"1825 Windfall Rd, Olean, New York 14760",www.caboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Cayuga Community College,"Auburn, NY",https://www.collegexpress.com/college/cayuga-community-college/3300979/details/,"$4,992",Information Unavailable,Information Unavailable,"Cayuga Community College, founded in 1953, is a public two-year institution. Its 50-acre campus is located in Auburn, NY.",Information Unavailable,Information Unavailable
Cayuga County Community College,"197 Franklin Street, Auburn, New York 13021-3099",https://www.cayuga-cc.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Public",-
Cayuga Onondaga BOCES-Practical Nursing Program,"Center for Learning 12 Allen Street, Auburn, New York 13021",www.cayboces.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",-
Center for Allied Health Education,"1401 Kings Highway, Brooklyn, New York 11229",https://www.cahe.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
"Center for Instruction, Technology & Innovation","179 County  Route 64, Mexico, New York 13114",https://www.citiboces.org/domain/14,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Public",Licensed Practical/Vocational Nurse Training
Center for Ultrasound Research & Education,"333 Westchester Avenue Suite 101 West, White Plains, New York 10604",www.cure.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private for-profit",Diagnostic Medical Sonography/Sonographer and Ultrasound Technician
Central Yeshiva Beth Joseph,"1502 Avenue N, Brooklyn, New York 11230-6043",https://centralyeshivabethjoseph.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Central Yeshiva Tomchei Tmimim Lubavitz,"885 Eastern Parkway, Brooklyn, New York 11213-2798",https://cyttl.edu/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"4-year, Private not-for-profit",-
Charles Stuart School of Diamond Setting,"1420 Kings Hwy 2nd Fl, Brooklyn, New York 11229",charlesstuartschool.com./,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Locksmithing and Safe Repair
Charles Stuart School of Locksmithing,"Brooklyn, NY",https://www.collegexpress.com/college/charles-stuart-school-of-locksmithing/3205176/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Charles Stuart School of Locksmithing, founded in 1988, is a private two-year technical institution. Its campus is located in Brooklyn, NY.",Information Unavailable,Information Unavailable
Cheryl Fells School of Business,"Niagara Falls, NY",https://www.collegexpress.com/college/cheryl-fells-school-of-business/3101022/details/,Information Unavailable,Information Unavailable,Information Unavailable,"Cheryl Fells School of Business is a private two-year technical institution. Its campus is located in Niagara Falls, NY.",Information Unavailable,Information Unavailable
"Christine Valmy International School for Esthetics, Skin Care & Makeup","1501 Broadway Suite 700, New York, New York 10036",https://www.christinevalmy.com/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"< 2-year, Private for-profit",Aesthetician/Esthetician and Skin Care Specialist
Circle in the Square Theatre School,"1633 Broadway, New York, New York 10019-6795",www.circlesquare.org/,Information Unavailable,Information Unavailable,Information Unavailable,Information Unavailable,"2-year, Private not-for-profit",-
Clarkson University,"Potsdam, NY",https://www.collegexpress.com/college/clarkson-university/1100295/details/,"$51,454",77%,14:1,"Clarkson University is a private research university founded in 1896. Its 640-acre main campus is located in Potsdam, NY, with additional graduate programs and research facilities at its Capital Region Campus in Schenectady, NY, and its Beacon Institute for Rivers and Estuaries in Beacon, NY.","4-year, Private not-for-profit",-
